pubkey,balance_sol,owner,executable
12GWqgyCN2VyWSbwTQ8ZSaBDSs86h6G6ogPXrjKUU4PA,0.0021576,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12H7RFuTQFgS7CRnAfMEeHw9onw3cS4vvpnq3k32ZLro,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12JHM8PMsddUSTeDpdY5dWewXxJdH93pNaa6QjHhmT5T,0.00408356,11111111111111111111111111111111,false
12JJ7D6gBZKYARwitXybgkTHd32YyjUktGVQE7SRbtYn,0.00380712,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12Led5sMjnGNyFTd2pEoeWwo8Ehy8AcqtTxKFxMRSZ3Z,43020.684009166,11111111111111111111111111111111,false
12N1JPBhdczY3oMYfv33a2cyTTvp9cjJh95yMdZ25tPP,0.00408356,11111111111111111111111111111111,false
12N8nZ3UegptqgzarhVv7Hf67bYrSg25p3WzvqRuKU8k,0.00408356,11111111111111111111111111111111,false
12PkAfuryoh9z5i89fsutisMc1BgdDzAkK8vBjAVwVEZ,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12QdsCUMmchzscXB9z1wvcjCK4YEshMDh42VGDNfLZww,0.00408356,11111111111111111111111111111111,false
12RiKfrGNXrmJetfH8ijyu3ioZFDHTz8muNBT2rQ4QWv,0.00103008,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
12SJ5Ei66vRhjkazyPXBEn8XXwYuRFgc3PY9fgVmDh6R,0.00408356,11111111111111111111111111111111,false
12SWeMUbgEyj8jnd9PhAYSPbHaYKw4q16v4rfZ9J5ua4,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12SajaEJEKV3K5uqjVYSWkC6RxCiwcfyVT2zMQkzo19M,0.00114144,BPFLoaderUpgradeab1e11111111111111111111111,true
12T4yW4SDytdjtc3MufJpLnjY6vhPddvARhULtWHEz6n,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12TQnXEAT5cE2mK34oJHfN6gUzzfVdhHb3JgA8qRPcs1,0.0151156,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
12TYyGMjtiTeUBzRn3FFznb1uajrcFBqL73umF3ECt7n,0.00162168,namesLPneVptA9Z5rqUDD9tMTWEJwofgaYwp8cawRkX,false
12VmyypLWEL2JGH1EGrZKL1sn1DUEMvgn9GwcbjYymTg,0.00380712,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12Wet7SMPLezQjJbWyreFKUcK7nkaUUNA9uQb6XYhaba,0.00613784,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12Y9D7WhBW1i2KXovp1o6oLEGeSERRjhY2CX1npvRpUU,0.05824128,Sov7HzpTsU3GttXmHBzjRhrjrCQ5RPYhkMns6zNUNtt,false
12Y9aAPoKv9j684FovsAavSHjVnHqou5Me6WbNz96ZRC,0.00408356,11111111111111111111111111111111,false
12c8DXABSD5b75fFQEz6fExhZvhKKqxoUxMNfc2p516D,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12c9m8jrycvmG9QD7CV32ziyzdAdPYtRNGrrpQGCdCRF,0.0014616,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12cY9nTEsBGz4Bc8FtG3scZACfz1aDdhEoLJ5EtexKPK,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12dho7TzuuZjRPqcVv6jM8paspUSQN4HLm3cz22A1Z6H,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12e6LZxK7j3xgjAAHRp7Fko7xwqe3dAAaK8JxGtpekpd,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12eFjwBwRiUrrZM6wZhh6tRG4ioRppuSaNA4jubEbTce,0.00103008,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
12efFXUfhRqRYRVi2RrUm1MWiq5Q5Pt2yD19t9DJaSkz,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12foTtwMGUMXq1LRuvWsDZDK63eVs3ZzU3KxVr769DfK,0.00408356,11111111111111111111111111111111,false
12fonEgkG3CRzFnEMRx2bRXZkgjz5gUmyziy4HNFtXNE,0.0151156,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
12gibWKQVqXuk3KHuq1eXQSPhwQkZyWnAJ9UzPUxMQfw,0.0014616,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12hmEMrqon9E1pXNFFYprGqYwn6Cm8XvMC3A9s9yxwa7,0.00613784,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12iMy9Xce9GighP8vJ3qC6nC6wDtSSvWS1mnfzcqiogK,0.00116928,BANGM1VB3At4Edot22MV5NGCEENcEsdxsURM9X4iQpQf,false
12jtVLXvUyCWyviKTkRNKMsRRLSzo2rBazUkynMZY9hB,0.00377928,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12kBomLJm4YjtJviU9YvDZ1onxVveFkFNA7k1jdpf1oC,0.00851904,namesLPneVptA9Z5rqUDD9tMTWEJwofgaYwp8cawRkX,false
12kEdkg8NfHMDwr6PvuQafnu7Li6XBL88AyjFNJLhZGR,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12kNUvjEEnBcUuSw86ost8HmDWHwV47XwfYBpWq6wfpq,0.00408356,11111111111111111111111111111111,false
12nynDBKPEhyXgfRHvU2WbtLeNmvxcqaTa2dovKreYpE,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12oswBGEjHNsz3dpiJue3NxMB7a3r9CjN1EJHbVvByj1,0.00408356,11111111111111111111111111111111,false
12p1TeB4mtWxA3GiHDH9kxyjCN4fUhqTdqpb536E9Zpj,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12qVydXRahxCnCp8qsrRRY6raL4MkrfEJ5EWmh6XBqFM,0.0014616,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12qac3sYhz3VG33jL6d39a4h5xbLjVuEWJhUPGFmea4P,0.00408356,11111111111111111111111111111111,false
12rbYHAk7GRwCTCxAbfubYVMMuqyWBfUFs4w5zcyaMtR,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12w4uvArBP42RUpKYvE1QjVts5tTuByCHEAs553QaUyN,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
12xwgQryTsEbSz5Wju8tpWq2toi12f4hVWCk8cTX4uck,0.00381408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
12zdPMPUzSFrp4Ry4YLukuyMA9Nox23QiBTihHPd4Pgi,0.00408356,11111111111111111111111111111111,false
12zkV671aQFMcZjuFfTRY6VsjzdMFbTzWJeHLCFZuSPq,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
131FGr36obSnrZwSp7AFNqdGixngJMbieoeqHg1b1qcd,7738.321328711,11111111111111111111111111111111,false
133R8bMGsA1Bo1brxBGVyA6dYk9DwgyJRW9xjQv1fyaz,0.00408356,11111111111111111111111111111111,false
1352Br9eqhzR6ttE2WXcpEmG61HYN83vtPwpKgZsvtYr,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
138vUUXK2f2hfuUvdgb51NUm2i6cEVvVbHWZyuZs2R7Z,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
1399GdB6nYWVAE9DHb9wbg6pUnxu3hXxuqWX881PqZ5C,0.0014616,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
139YkcWy1EDnGKM4Z3QVPQcKEQRKq1q8jvNDazE45pZ1,0.00203928,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
13A9DUBd84Kp4UVWuw5NVS2Qgk5uT81mcBXNf2tjYfn7,0.0151156,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
13CZ4P6XEDFVQNVbEzgy27b1oiDvyGNK3ASSg6G1b5ip,0.0014616,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,false
13FAj8NBGt2YRVsudeABsm6Fth78777sVceWo5mpbRJy,0.00117624,61D2nAYwMZHVwDTB59HryJnE2TY7uCPm7dM6QEXwQQg7,false
13FiqDWT3ixDazbY7ofm7SA5YojN7E3d3W6nUzioPLeh,0.00103008,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
13GQEB18QVZVoDtWvKGkPFi2CZKNTMfGr8gbhyEzGQ55,0.00103008,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,false
13GiycwwxHS9W6fSQnCT9dHU49vmaAU4KSrBnju1W1Td,0.00381408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
13GwfTjLsrAMatpeFhGewAqhW9x7gNdTjsBrmxTVQ2yV,0.00207408,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,false
13Jh3ALwSb5KovzLeKJXkf1GwRpbdeDSBkPRpi48VEv9,0.00408356,11111111111111111111111111111111,false
13KGaWUMK7U5LMQSXZ3TWVbyo2Z4fkMngn6GupVrD7uz,0.00408356,11111111111111111111111111111111,false
